name,description,price,sku,imageUrls,brand
NM1-250H/3300 160A Int. Aut. Caja Mold. 3P Fijo 160A 50Ka 415Vac Nm1-250H,NM1-250H/3300 160A Int. Aut. Caja Mold. 3P Fijo 160A 50Ka 415Vac Nm1-250H,192.01,"Código: 126603
CHINT
Ref./Fab: NM1-250H/3300 160A
Cant.Disponible: 31
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 192.01",https://store.grupocoinp.com/web/image/product.product/1785/image_1024/%5BNM1-250H-3300%20160A%5D%20Int.%20Aut.%20Caja%20Mold.%203P%20Fijo%20160A%2050Ka%20415Vac%20%20Nm1-250H?unique=c1066c5,chint-103
NM1-250H/3300 250A Int. Aut. Caja Mold. 3P Fijo 250A 50Ka 415Vac Nm1-250H,NM1-250H/3300 250A Int. Aut. Caja Mold. 3P Fijo 250A 50Ka 415Vac Nm1-250H,192.01,"Código: 126129
CHINT
Ref./Fab: NM1-250H/3300 250A
Cant.Disponible: 52
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 192.01",https://store.grupocoinp.com/web/image/product.product/1789/image_1024/%5BNM1-250H-3300%20250A%5D%20Int.%20Aut.%20Caja%20Mold.%203P%20Fijo%20250A%2050Ka%20415Vac%20%20Nm1-250H?unique=27542b1,chint-103
NM8-125S/100/3 Int. Aut Caja Mold. 3P Reg. 80-100A 50Ka 415Vac Nm8 (0.8-1 In),NM8-125S/100/3 Int. Aut Caja Mold. 3P Reg. 80-100A 50Ka 415Vac Nm8 (0.8-1 In),262.9,"Código: 149358
CHINT
Ref./Fab: NM8-125S/100/3
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 262.90",https://store.grupocoinp.com/web/image/product.product/1806/image_1024/%5BNM8-125S-100-3%5D%20Int.%20Aut%20Caja%20Mold.%203P%20Reg.%2080-100A%2050Ka%20415Vac%20Nm8%20%280.8-1%20In%29?unique=8e1604c,chint-103
NM8S-630H/630/3 Int. Aut Caja Mold. 3P Reg. 252-630A 100Ka 415Vac Nm8S (0.4-1 In),NM8S-630H/630/3 Int. Aut Caja Mold. 3P Reg. 252-630A 100Ka 415Vac Nm8S (0.4-1 In),1239.02,"Código: 149497
CHINT
Ref./Fab: NM8S-630H/630/3
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 1,239.02",https://store.grupocoinp.com/web/image/product.product/3386/image_1024/%5BNM8S-630H-630-3%5D%20Int.%20Aut%20Caja%20Mold.%203P%20Reg.%20252-630A%20100Ka%20415Vac%20Nm8S%20%280.4-1%20In%29?unique=91e5255,chint-103
NM8-800S/800/3 Int. Aut Caja Mold. 3P Reg. 640-800A 50Ka 415Vac Nm8 (0.8-1 In),NM8-800S/800/3 Int. Aut Caja Mold. 3P Reg. 640-800A 50Ka 415Vac Nm8 (0.8-1 In),2034.52,"Código: 149916
CHINT
Ref./Fab: NM8-800S/800/3
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 2,034.52",https://store.grupocoinp.com/web/image/product.product/1821/image_1024/%5BNM8-800S-800-3%5D%20Int.%20Aut%20Caja%20Mold.%203P%20Reg.%20640-800A%2050Ka%20415Vac%20Nm8%20%280.8-1%20In%29?unique=b97357e,chint-103
NS2-80B 25-40 Guardamotor Magnetico 3P Reg. 25 - 40A,NS2-80B 25-40 Guardamotor Magnetico 3P Reg. 25 - 40A,188.52,"Código: 495087
CHINT
Ref./Fab: NS2-80B 25-40
Cant.Disponible: 14
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 188.52",https://store.grupocoinp.com/web/image/product.product/5657/image_1024/%5BNS2-80B%2025-40%5D%20Guardamotor%20Magnetico%203P%20Reg.%20%2025%20-%2040A?unique=82db972,chint-103
NS2-80B 56-80 Guardamotor Magnetico 3P Reg. 56 - 80A,NS2-80B 56-80 Guardamotor Magnetico 3P Reg. 56 - 80A,188.52,"Código: 495089
CHINT
Ref./Fab: NS2-80B 56-80
Cant.Disponible: 26
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 188.52",https://store.grupocoinp.com/web/image/product.product/5659/image_1024/%5BNS2-80B%2056-80%5D%20Guardamotor%20Magnetico%203P%20Reg.%20%2056%20-%2080A?unique=fa3ae5b,chint-103
NR2-25 0.4-0.63A Rele De Sobrecarga Termico Reg. 0.40-0.63A 1Na+1Nc P/Cont. Nc1,NR2-25 0.4-0.63A Rele De Sobrecarga Termico Reg. 0.40-0.63A 1Na+1Nc P/Cont. Nc1,24.8,"Código: 268135
CHINT
Ref./Fab: NR2-25 0.4-0.63A
Cant.Disponible: 35
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 24.80",https://store.grupocoinp.com/web/image/product.product/204/image_1024/%5BNR2-25%200.4-0.63A%5D%20Rele%20De%20Sobrecarga%20Termico%20Reg.%200.40-0.63A%201Na+1Nc%20P-Cont.%20Nc1?unique=ca5af6c,chint-103
NR2-36 23-32A Rele De Sobrecarga Termico Reg. 23-32A 1Na+1Nc P/Cont. Nc1-32 T. Mediano,NR2-36 23-32A Rele De Sobrecarga Termico Reg. 23-32A 1Na+1Nc P/Cont. Nc1-32 T. Mediano,66.34,"Código: 268143
CHINT
Ref./Fab: NR2-36 23-32A
Cant.Disponible: 12
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 66.34",https://store.grupocoinp.com/web/image/product.product/810/image_1024/%5BNR2-36%2023-32A%5D%20Rele%20De%20Sobrecarga%20Termico%20Reg.%2023-32A%201Na+1Nc%20P-Cont.%20Nc1-32%20T.%20Mediano?unique=4bf5d54,chint-103
NR2-93 30-40A Rele De Sobrecarga Termico Reg. 30-40A 1Na+1Nc P/Cont. Nc1,NR2-93 30-40A Rele De Sobrecarga Termico Reg. 30-40A 1Na+1Nc P/Cont. Nc1,77.25,"Código: 268146
CHINT
Ref./Fab: NR2-93 30-40A
Cant.Disponible: 15
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 77.25",https://store.grupocoinp.com/web/image/product.product/814/image_1024/%5BNR2-93%2030-40A%5D%20Rele%20De%20Sobrecarga%20Termico%20Reg.%2030-40A%20%201Na+1Nc%20P-Cont.%20Nc1?unique=799fbe3,chint-103
